CODE_CITY,CITY,UF,LATITUDE,LONGITUDE,HEIGHT,NM_UF
2207405,Palmeira Do Piauí,PI,-8.72950111876504,-44.2325685791726,284.88902,PIAUÍ
1715705,Palmeirante,TO,-7.85756137614505,-47.9342497089842,167.748162,TOCANTINS
1713809,Palmeiras Do Tocantins,TO,-6.61186233456171,-47.5586835262825,176.07136,TOCANTINS
1715754,Palmeirópolis,TO,-13.0398884336692,-48.4134139552316,454.71199,TOCANTINS
2107704,Paraibano,MA,-6.43182541413892,-43.9857620488226,285.671258,MARANHÃO
1716109,Paraíso Do Tocantins,TO,-10.1712207549999,-48.8866300840169,398.578296,TOCANTINS
1716208,Paranã,TO,-12.6204814887183,-47.8840837284426,270.015519,TOCANTINS
2923704,Paratinga,BA,-12.6906971249291,-43.1820250755777,430.977346,BAHIA
2207603,Parnaguá,PI,-10.2171809705429,-44.6343146131202,333.246033,PIAUÍ
2107803,Parnarama,MA,-5.6844671764059,-43.0904013534701,83.097975,MARANHÃO
2107902,Passagem Franca,MA,-6.17399442555871,-43.781745225862,218.682539,MARANHÃO
2108009,Pastos Bons,MA,-6.60402773206398,-44.0886025133719,308.397342,MARANHÃO
1716307,Pau D'arco,TO,-7.53999835569997,-49.3633064810091,161.936181,TOCANTINS
2108058,Paulino Neves,MA,-2.71820598982708,-42.5454239809373,3.341475,MARANHÃO
2108207,Pedreiras,MA,-4.56935068809905,-44.6037348763271,32.51849,MARANHÃO
1716505,Pedro Afonso,TO,-8.96444959242294,-48.1775561127386,181.957873,TOCANTINS
1716604,Peixe,TO,-12.029773830853,-48.537810626336,246.033236,TOCANTINS
1716653,Pequizeiro,TO,-8.59334065444845,-48.9351798669158,292.582377,TOCANTINS
2108454,Peritoró,MA,-4.37022511765711,-44.3258535239149,57.679832,MARANHÃO
1717008,Pindorama Do Tocantins,TO,-11.1382025846808,-47.5756877172877,437.147877,TOCANTINS
2108702,Pio Xii,MA,-3.88758753012782,-45.169960388665,36.095743,MARANHÃO
2108801,Pirapemas,MA,-3.72532906611683,-44.2282808838415,36.788545,MARANHÃO
1717206,Piraquê,TO,-6.76977703340735,-48.2937073910932,194.960543,TOCANTINS
1717503,Pium,TO,-10.4409311179305,-49.1666580115747,268.45852,TOCANTINS
2108900,Poção De Pedras,MA,-4.75002521124495,-44.9515514003151,57.99466,MARANHÃO
1717800,Ponte Alta Do Bom Jesus,TO,-12.0878129084344,-46.4695867923952,518.670469,TOCANTINS
1717909,Ponte Alta Do Tocantins,TO,-10.7406728486815,-47.5411803583019,315.882195,TOCANTINS
2208551,Porto Alegre Do Piauí,PI,-6.97172468664628,-44.1948371018939,183.097551,PIAUÍ
1718006,Porto Alegre Do Tocantins,TO,-11.6072590990885,-47.0474256004295,382.414125,TOCANTINS
2109007,Porto Franco,MA,-6.35418186391414,-47.3821649019193,188.027924,MARANHÃO
1718204,Porto Nacional,TO,-10.708569917,-48.4121534584309,234.029467,TOCANTINS
1718303,Praia Norte,TO,-5.39671287737827,-47.8147317333423,128.757235,TOCANTINS
2109106,Presidente Dutra,MA,-5.28237425775883,-44.4929188624246,106.207612,MARANHÃO
1718402,Presidente Kennedy,TO,-8.52996082761918,-48.504330670109,275.440644,TOCANTINS
2109304,Presidente Vargas,MA,-3.40201152220656,-44.0334018673342,38.607815,MARANHÃO
2109403,Primeira Cruz,MA,-2.51058317196358,-43.4424433046987,1.650929,MARANHÃO
1718451,Pugmil,TO,-10.4243071562468,-48.8942204487831,296.17995,TOCANTINS
1718501,Recursolândia,TO,-8.73536045388012,-47.2380411950208,334.137764,TOCANTINS
2208700,Redenção Do Gurguéia,PI,-9.49344824144475,-44.5812141605608,319.969684,PIAUÍ
2109502,Riachão,MA,-7.36456500024021,-46.6233501429074,394.084913,MARANHÃO
2926202,Riachão Das Neves,BA,-11.7462475299556,-44.9164697719097,517.786021,BAHIA
1718550,Riachinho,TO,-6.44221138769741,-48.141045502038,158.575599,TOCANTINS
2208858,Riacho Frio,PI,-10.1287276881395,-44.9525300482529,420.400645,PIAUÍ
2109551,Ribamar Fiquene,MA,-5.93382285881857,-47.3834777870799,155.446211,MARANHÃO
2208908,Ribeiro Gonçalves,PI,-7.55803424497219,-45.2456386842602,213.017834,PIAUÍ
1718659,Rio Da Conceição,TO,-11.404940023899,-46.8803997045722,518.965692,TOCANTINS
1718709,Rio Dos Bois,TO,-9.3437422386879,-48.5330479716014,208.162542,TOCANTINS
1718758,Rio Sono,TO,-9.34778933411611,-47.8999416391395,202.931217,TOCANTINS
2109700,Sambaíba,MA,-7.13835089749796,-45.3442031980139,204.047862,MARANHÃO
1718808,Sampaio,TO,-5.3492956164967,-47.8757924571994,125.433696,TOCANTINS
1718840,Sandolândia,TO,-12.5416001674833,-49.9333881543012,249.798948,TOCANTINS
1718865,Santa Fé Do Araguaia,TO,-7.1499363850312,-48.6939418034376,180.042188,TOCANTINS
2209203,Santa Filomena,PI,-9.10679570533628,-45.9205564410726,293.590339,PIAUÍ
2109759,Santa Filomena Do Maranhão,MA,-5.4997668067221,-44.5637140401312,159.968313,MARANHÃO
2209302,Santa Luz,PI,-8.94462421689483,-44.1295859062574,329.616986,PIAUÍ
2928109,Santa Maria Da Vitória,BA,-13.3935452501399,-44.1983088657849,457.363151,BAHIA
1718881,Santa Maria Do Tocantins,TO,-8.77497644926651,-47.7452704192246,319.297085,TOCANTINS
2110104,Santa Quitéria Do Maranhão,MA,-3.49848499511509,-42.5628730097352,30.366193,MARANHÃO
2928406,Santa Rita De Cássia,BA,-11.0080450698517,-44.5190497202788,441.091563,BAHIA
1718899,Santa Rita Do Tocantins,TO,-10.8664553694029,-48.909294007359,290.732558,TOCANTINS
